"2026-05-19 21:17:49";;;
card_reference;card_name;rarity;quantity
ALT_ALIZE_A_BR_37_C;"Gericht, Bretteur Honoré";Commun;1
ALT_ALIZE_A_MU_35_C;"Saskia, Naturaliste Rusée";Commun;1
ALT_ALIZE_A_MU_35_R2;"Saskia, Naturaliste Rusée";Rare;1
ALT_ALIZE_A_OR_47_C;"Lac Saisi par les Glaces";Commun;3
ALT_ALIZE_B_AX_32_C;"La Machine dans la Glace";Commun;4
ALT_ALIZE_B_AX_32_U_10696;"La machine dans la glace";Unique;1
ALT_ALIZE_B_AX_33_C;"Macareux à Roquettes";Commun;4
ALT_ALIZE_B_AX_33_R2;"Macareux à Roquettes";Rare;1
ALT_ALIZE_B_AX_34_C;"La Petite Fille aux Allumettes";Commun;4
ALT_ALIZE_B_AX_34_R2;"La Petite Fille aux Allumettes";Rare;1
ALT_ALIZE_B_AX_35_C;"Vaike, l'Énergéticienne";Commun;4
ALT_ALIZE_B_AX_36_C;"Éclaireur Morse";Commun;4
ALT_ALIZE_B_AX_36_R2;"Éclaireur Morse";Rare;1
ALT_ALIZE_B_AX_37_C;"Porteuse Intrépide";Commun;4
ALT_ALIZE_B_AX_38_C;"Prototype Défectueux";Commun;4
ALT_ALIZE_B_AX_38_R2;"Prototype Défectueux";Rare;2
ALT_ALIZE_B_AX_39_C;Vishvakarma;Commun;4
ALT_ALIZE_B_AX_39_R2;Vishvakarma;Rare;1
ALT_ALIZE_B_AX_40_C;Gibil;Commun;4
ALT_ALIZE_B_AX_41_C;"Livraison Gelée";Commun;4
ALT_ALIZE_B_AX_41_R1;"Livraison Gelée";Rare;1
ALT_ALIZE_B_AX_42_C;Avalanche;Commun;4
ALT_ALIZE_B_AX_42_R2;Avalanche;Rare;1
ALT_ALIZE_B_AX_43_C;"Radiateur Kélonique";Commun;4
ALT_ALIZE_B_AX_44_C;"Lord Kelvin";Commun;4
ALT_ALIZE_B_AX_45_C;"Recycleur Gelé";Commun;4
ALT_ALIZE_B_AX_45_R2;"Recycleur Gelé";Rare;1
ALT_ALIZE_B_AX_46_C;"Galeries Saisies par les Glaces";Commun;4
ALT_ALIZE_B_AX_46_R2;"Galeries Saisies par les Glaces";Rare;1
ALT_ALIZE_B_BR_01_C;"Kojo & Booda";Commun;1
ALT_ALIZE_B_BR_03_C;"Basira & Kaizaimon";Commun;1
ALT_ALIZE_B_BR_32_C;"Lapin Ardent";Commun;1
ALT_ALIZE_B_BR_32_R2;"Lapin Ardent";Rare;1
ALT_ALIZE_B_BR_33_C;Skadi;Commun;2
ALT_ALIZE_B_BR_34_C;"Seiringar de Havre";Commun;3
ALT_ALIZE_B_BR_35_C;"Déblayeur Bravos";Commun;3
ALT_ALIZE_B_BR_35_R1;"Déblayeur Bravos";Rare;1
ALT_ALIZE_B_BR_35_R2;"Déblayeur Bravos";Rare;1
ALT_ALIZE_B_BR_36_C;"Secouriste Bravos";Commun;4
ALT_ALIZE_B_BR_37_C;"Gericht, Bretteur Honoré";Commun;1
ALT_ALIZE_B_BR_38_C;Akhlut;Commun;3
ALT_ALIZE_B_BR_39_C;Amarok;Commun;4
ALT_ALIZE_B_BR_40_C;Éros;Commun;4
ALT_ALIZE_B_BR_40_R2;Éros;Rare;1
ALT_ALIZE_B_BR_41_C;"Embrasement de Mana";Commun;3
ALT_ALIZE_B_BR_41_R2;"Embrasement de Mana";Rare;1
ALT_ALIZE_B_BR_42_C;Geyser;Commun;3
ALT_ALIZE_B_BR_42_R1;Geyser;Rare;1
ALT_ALIZE_B_BR_43_C;"Lait d'Arcolano";Commun;4
ALT_ALIZE_B_BR_43_R1;"Lait d'Arcolano";Rare;1
ALT_ALIZE_B_BR_44_C;"Bottes Techniques";Commun;4
ALT_ALIZE_B_BR_45_C;"Barre Énergétique Mangez-Moi";Commun;4
ALT_ALIZE_B_BR_46_C;"Pic Saisi par les Glaces";Commun;3
ALT_ALIZE_B_LY_02_C;"Auraq & Kibble";Commun;1
ALT_ALIZE_B_LY_03_C;"Fen & Crowbar";Commun;1
ALT_ALIZE_B_LY_31_C;"Entasseur Magpeng";Commun;3
ALT_ALIZE_B_LY_31_R1;"Entasseur Magpeng";Rare;1
ALT_ALIZE_B_LY_31_R2;"Entasseur Magpeng";Rare;1
ALT_ALIZE_B_LY_32_C;"Commando Boule-de-Neige";Commun;4
ALT_ALIZE_B_LY_32_R1;"Commando Boule-de-Neige";Rare;1
ALT_ALIZE_B_LY_33_C;"Le Bonhomme de Neige";Commun;1
ALT_ALIZE_B_LY_34_C;"Nyala, Habile Illusionniste";Commun;4
ALT_ALIZE_B_LY_34_R1;"Nyala, Habile Illusionniste";Rare;1
ALT_ALIZE_B_LY_35_C;"Feu Follet";Commun;4
ALT_ALIZE_B_LY_36_C;Nisse;Commun;1
ALT_ALIZE_B_LY_37_C;"Le Père Noël";Commun;3
ALT_ALIZE_B_LY_37_R1;"Le Père Noël";Rare;1
ALT_ALIZE_B_LY_38_C;Heimdall;Commun;3
ALT_ALIZE_B_LY_39_C;"Tour de Passe-Passe";Commun;4
ALT_ALIZE_B_LY_40_C;"Virée Endiablée";Commun;1
ALT_ALIZE_B_LY_40_R1;"Virée Endiablée";Rare;1
ALT_ALIZE_B_LY_41_C;"Douce Nuit";Commun;1
ALT_ALIZE_B_LY_41_R2;"Douce Nuit";Rare;1
ALT_ALIZE_B_LY_42_R2;"Briser la Glace";Rare;1
ALT_ALIZE_B_LY_43_C;"Tenue Hivernale";Commun;4
ALT_ALIZE_B_LY_43_R1;"Tenue Hivernale";Rare;1
ALT_ALIZE_B_LY_44_C;"Le Traîneau Enchanté";Commun;3
ALT_ALIZE_B_LY_45_C;"Toundra Saisie par les Glaces";Commun;4
ALT_ALIZE_B_MU_02_C;"Arjun & Spike";Commun;1
ALT_ALIZE_B_MU_03_C;"Rin & Orchid";Commun;1
ALT_ALIZE_B_MU_31_C;"Jack Frost";Commun;3
ALT_ALIZE_B_MU_31_R2;"Jack Frost";Rare;1
ALT_ALIZE_B_MU_32_C;"Champignon Exténueur";Commun;3
ALT_ALIZE_B_MU_33_C;Perséphone;Commun;2
ALT_ALIZE_B_MU_33_R2;Perséphone;Rare;1
ALT_ALIZE_B_MU_34_C;"Loutre Rempoteuse";Commun;3
ALT_ALIZE_B_MU_34_R2;"Loutre Rempoteuse";Rare;2
ALT_ALIZE_B_MU_35_C;"Saskia, Naturaliste Rusée";Commun;1
ALT_ALIZE_B_MU_35_R1;"Saskia, Naturaliste Rusée";Rare;1
ALT_ALIZE_B_MU_36_C;Yéti;Commun;2
ALT_ALIZE_B_MU_37_C;"Puissant Simbi";Commun;4
ALT_ALIZE_B_MU_37_R2;"Puissant Simbi";Rare;1
ALT_ALIZE_B_MU_38_C;Liéchi;Commun;1
ALT_ALIZE_B_MU_38_R1;Liéchi;Rare;1
ALT_ALIZE_B_MU_38_R2;Liéchi;Rare;2
ALT_ALIZE_B_MU_40_C;Déméter;Commun;4
ALT_ALIZE_B_MU_40_R1;Déméter;Rare;1
ALT_ALIZE_B_MU_41_C;Semer;Commun;2
ALT_ALIZE_B_MU_41_R1;Semer;Rare;1
ALT_ALIZE_B_MU_41_R2;Semer;Rare;1
ALT_ALIZE_B_MU_42_C;"Perdu en Forêt";Commun;4
ALT_ALIZE_B_MU_43_C;"Haricots Magiques";Commun;4
ALT_ALIZE_B_MU_43_R1;"Haricots Magiques";Rare;1
ALT_ALIZE_B_MU_44_C;"Tente Florale";Commun;1
